feature	value	n_samples	precision	recall	f1
workclass	Private	4557	0.7044025157232704	0.5900948366701791	0.6422018348623854
workclass	Local-gov	411	0.7211538461538461	0.635593220338983	0.6756756756756757
workclass	Self-emp-not-inc	513	0.794392523364486	0.5592105263157895	0.6563706563706564
workclass	Federal-gov	188	0.8421052631578947	0.6153846153846154	0.7111111111111111
workclass	Self-emp-inc	227	0.7553956834532374	0.8333333333333334	0.7924528301886793
workclass	State-gov	255	0.711864406779661	0.6774193548387096	0.6942148760330579
workclass	?	357	0.6111111111111112	0.3333333333333333	0.43137254901960786
education	Bachelors	1086	0.7614457831325301	0.7400468384074942	0.7505938242280285
education	Some-college	1480	0.6602870813397129	0.5	0.5690721649484536
education	HS-grad	2138	0.6036036036036037	0.3872832369942196	0.47183098591549294
education	10th	187	0.8	0.4	0.5333333333333333
education	Assoc-voc	254	0.6153846153846154	0.5517241379310345	0.5818181818181818
education	9th	102	1.0	0.0	0.0
education	5th-6th	62	1.0	0.25	0.4
education	Assoc-acdm	223	0.6428571428571429	0.5294117647058824	0.5806451612903226
education	11th	223	1.0	0.18181818181818182	0.3076923076923077
education	Masters	304	0.8333333333333334	0.8187134502923976	0.8259587020648967
education	7th-8th	126	0.0	0.0	0.0
education	12th	84	1.0	0.38461538461538464	0.5555555555555556
education	Prof-school	115	0.875	0.9058823529411765	0.8901734104046243
education	Doctorate	87	0.7352941176470589	0.8620689655172413	0.7936507936507936
marital-status	Never-married	2161	0.8717948717948718	0.35051546391752575	0.5
marital-status	Married-civ-spouse	2976	0.7152542372881356	0.6547711404189294	0.6836776022681248
marital-status	Separated	217	0.7142857142857143	0.4166666666666667	0.5263157894736842
marital-status	Married-spouse-absent	80	0.75	0.3333333333333333	0.46153846153846156
marital-status	Divorced	888	0.8048780487804879	0.3473684210526316	0.4852941176470588
marital-status	Widowed	187	1.0	0.4666666666666667	0.6363636363636364
occupation	Sales	788	0.6613756613756614	0.6157635467980296	0.6377551020408163
occupation	Tech-support	193	0.7962962962962963	0.6935483870967742	0.7413793103448276
occupation	Adm-clerical	738	0.6805555555555556	0.45794392523364486	0.547486033519553
occupation	Craft-repair	820	0.6180555555555556	0.46113989637305697	0.5281899109792285
occupation	Exec-managerial	794	0.8	0.7540983606557377	0.7763713080168776
occupation	Machine-op-inspct	428	0.53125	0.30357142857142855	0.38636363636363635
occupation	Handlers-cleaners	272	1.0	0.17647058823529413	0.3
occupation	Transport-moving	327	0.5945945945945946	0.36065573770491804	0.4489795918367347
occupation	Farming-fishing	193	0.7777777777777778	0.3888888888888889	0.5185185185185185
occupation	Prof-specialty	815	0.7558139534883721	0.7428571428571429	0.7492795389048992
occupation	Other-service	640	0.3333333333333333	0.0625	0.10526315789473684
occupation	?	358	0.6111111111111112	0.3333333333333333	0.43137254901960786
occupation	Protective-serv	113	0.7931034482758621	0.6388888888888888	0.7076923076923077
relationship	Not-in-family	1694	0.8072289156626506	0.39880952380952384	0.5338645418326693
relationship	Own-child	1041	1.0	0.14285714285714285	0.25
relationship	Wife	303	0.704	0.6068965517241379	0.6518518518518519
relationship	Unmarried	671	1.0	0.2553191489361702	0.4067796610169492
relationship	Husband	2627	0.715370018975332	0.6631486367634125	0.6882701962574167
relationship	Other-relative	177	1.0	0.42857142857142855	0.6
race	White	5586	0.7237851662404092	0.6143270622286541	0.6645792563600783
race	Black	598	0.7413793103448276	0.5375	0.6231884057971014
race	Asian-Pac-Islander	200	0.7027027027027027	0.5777777777777777	0.6341463414634146
race	Other	60	0.7142857142857143	0.7142857142857143	0.7142857142857143
race	Amer-Indian-Eskimo	69	0.75	0.75	0.75
sex	Male	4334	0.7214734950584007	0.6244167962674961	0.669445602334306
sex	Female	2179	0.7409638554216867	0.5301724137931034	0.6180904522613065
native-country	United-States	5846	0.7320205479452054	0.6120257695060844	0.6666666666666666
native-country	Mexico	123	0.5	0.3333333333333333	0.4
native-country	Philippines	36	0.7142857142857143	0.35714285714285715	0.47619047619047616
native-country	Italy	16	0.75	0.6	0.6666666666666666
native-country	?	118	0.6666666666666666	0.5517241379310345	0.6037735849056604
native-country	Jamaica	22	0.3333333333333333	0.5	0.4
native-country	Iran	10	0.5	0.6666666666666666	0.5714285714285714
native-country	England	17	0.6666666666666666	0.8	0.7272727272727273
native-country	Japan	13	0.75	1.0	0.8571428571428571
native-country	Puerto-Rico	19	0.5	0.3333333333333333	0.4
native-country	China	15	0.75	1.0	0.8571428571428571
native-country	Germany	27	0.8	0.4444444444444444	0.5714285714285714
native-country	Canada	23	0.5384615384615384	0.875	0.6666666666666666
native-country	El-Salvador	21	1.0	1.0	1.0
native-country	India	25	0.7272727272727273	0.8888888888888888	0.8
native-country	South	17	0.6666666666666666	0.5	0.5714285714285714
native-country	Guatemala	17	1.0	1.0	1.0
native-country	Haiti	11	0.5	0.5	0.5
native-country	Poland	13	0.0	0.0	0.0
native-country	Cuba	14	0.5	0.5	0.5
native-country	Vietnam	15	1.0	0.0	0.0
